10.2.28.88	23.47.50.182	www.msftconnecttest.com	/connecttest.txt
10.2.28.88	239.255.255.250	239.255.255.250:1900	*
10.2.28.88	239.255.255.250	239.255.255.250:1900	*
10.2.28.88	239.255.255.250	239.255.255.250:1900	*
10.2.28.88	239.255.255.250	239.255.255.250:1900	*
10.2.28.88	239.255.255.250	239.255.255.250:1900	*
10.2.28.88	239.255.255.250	239.255.255.250:1900	*
10.2.28.88	239.255.255.250	239.255.255.250:1900	*
10.2.28.88	239.255.255.250	239.255.255.250:1900	*
10.2.28.88	239.255.255.250	239.255.255.250:1900	*
10.2.28.88	45.131.214.85	45.131.214.85	http://45.131.214.85/fakeurl.htm
10.2.28.88	45.131.214.85	45.131.214.85	http://45.131.214.85/fakeurl.htm
10.2.28.88	45.131.214.85	45.131.214.85	http://45.131.214.85/fakeurl.htm
10.2.28.88	45.131.214.85	45.131.214.85	http://45.131.214.85/fakeurl.htm
10.2.28.88	45.131.214.85	45.131.214.85	http://45.131.214.85/fakeurl.htm
10.2.28.88	45.131.214.85	45.131.214.85	http://45.131.214.85/fakeurl.htm
10.2.28.88	45.131.214.85	45.131.214.85	http://45.131.214.85/fakeurl.htm
10.2.28.88	45.131.214.85	45.131.214.85	http://45.131.214.85/fakeurl.htm
10.2.28.88	45.131.214.85	45.131.214.85	http://45.131.214.85/fakeurl.htm
10.2.28.88	45.131.214.85	45.131.214.85	http://45.131.214.85/fakeurl.htm
10.2.28.88	45.131.214.85	45.131.214.85	http://45.131.214.85/fakeurl.htm
10.2.28.88	45.131.214.85	45.131.214.85	http://45.131.214.85/fakeurl.htm
10.2.28.88	45.131.214.85	45.131.214.85	http://45.131.214.85/fakeurl.htm
10.2.28.88	45.131.214.85	45.131.214.85	http://45.131.214.85/fakeurl.htm
10.2.28.88	45.131.214.85	45.131.214.85	http://45.131.214.85/fakeurl.htm
10.2.28.88	23.218.232.161	acroipm2.adobe.com	/assets/Owner/arm/ProcessMAU.txt
10.2.28.88	239.255.255.250	239.255.255.250:1900	*
10.2.28.88	239.255.255.250	239.255.255.250:1900	*
10.2.28.88	239.255.255.250	239.255.255.250:1900	*
10.2.28.88	45.131.214.85	45.131.214.85	http://45.131.214.85/fakeurl.htm
10.2.28.88	45.131.214.85	45.131.214.85	http://45.131.214.85/fakeurl.htm
10.2.28.88	45.131.214.85	45.131.214.85	http://45.131.214.85/fakeurl.htm
10.2.28.88	45.131.214.85	45.131.214.85	http://45.131.214.85/fakeurl.htm
10.2.28.88	45.131.214.85	45.131.214.85	http://45.131.214.85/fakeurl.htm
10.2.28.88	45.131.214.85	45.131.214.85	http://45.131.214.85/fakeurl.htm
10.2.28.88	45.131.214.85	45.131.214.85	http://45.131.214.85/fakeurl.htm
10.2.28.88	45.131.214.85	45.131.214.85	http://45.131.214.85/fakeurl.htm
10.2.28.88	45.131.214.85	45.131.214.85	http://45.131.214.85/fakeurl.htm
10.2.28.88	45.131.214.85	45.131.214.85	http://45.131.214.85/fakeurl.htm
10.2.28.88	45.131.214.85	45.131.214.85	http://45.131.214.85/fakeurl.htm
10.2.28.88	239.255.255.250	239.255.255.250:1900	*
10.2.28.88	239.255.255.250	239.255.255.250:1900	*
10.2.28.88	23.218.232.142	msedge.b.tlu.dl.delivery.mp.microsoft.com	/filestreamingservice/files/ddbf4492-d475-4fe4-bcde-6cbac56f6034?P1=1772824359&P2=404&P3=2&P4=TMSkemQv9LZfDxme9Q9GxU0tc2G9uhdO6d7QU9JVJHOk%2ba0A4pJYzApqbFnNEQ6bt9QSukbCYOxGUmPIOR1Xgw%3d%3d
10.2.28.88	23.218.232.142	msedge.b.tlu.dl.delivery.mp.microsoft.com	/filestreamingservice/files/ddbf4492-d475-4fe4-bcde-6cbac56f6034?P1=1772824359&P2=404&P3=2&P4=TMSkemQv9LZfDxme9Q9GxU0tc2G9uhdO6d7QU9JVJHOk%2ba0A4pJYzApqbFnNEQ6bt9QSukbCYOxGUmPIOR1Xgw%3d%3d
10.2.28.88	239.255.255.250	239.255.255.250:1900	*
10.2.28.88	23.218.232.142	msedge.b.tlu.dl.delivery.mp.microsoft.com	/filestreamingservice/files/ddbf4492-d475-4fe4-bcde-6cbac56f6034?P1=1772824359&P2=404&P3=2&P4=TMSkemQv9LZfDxme9Q9GxU0tc2G9uhdO6d7QU9JVJHOk%2ba0A4pJYzApqbFnNEQ6bt9QSukbCYOxGUmPIOR1Xgw%3d%3d
10.2.28.88	23.218.232.142	msedge.b.tlu.dl.delivery.mp.microsoft.com	/filestreamingservice/files/0b18f766-7469-4aa3-88b7-99e69c55d14d?P1=1772628813&P2=404&P3=2&P4=P9O%2fZqV3zHEog%2f8GWjY1LjxEXlCShXCmvVwfgCjP6c7Xjf6q9SdV5Cxrlht3k8c6RsZdgDSm48GRm8J1Kej36Q%3d%3d
10.2.28.88	23.218.232.142	msedge.b.tlu.dl.delivery.mp.microsoft.com	/filestreamingservice/files/0b18f766-7469-4aa3-88b7-99e69c55d14d?P1=1772628813&P2=404&P3=2&P4=P9O%2fZqV3zHEog%2f8GWjY1LjxEXlCShXCmvVwfgCjP6c7Xjf6q9SdV5Cxrlht3k8c6RsZdgDSm48GRm8J1Kej36Q%3d%3d
10.2.28.88	23.218.232.142	msedge.b.tlu.dl.delivery.mp.microsoft.com	/filestreamingservice/files/0b18f766-7469-4aa3-88b7-99e69c55d14d?P1=1772628813&P2=404&P3=2&P4=P9O%2fZqV3zHEog%2f8GWjY1LjxEXlCShXCmvVwfgCjP6c7Xjf6q9SdV5Cxrlht3k8c6RsZdgDSm48GRm8J1Kej36Q%3d%3d
10.2.28.88	45.131.214.85	45.131.214.85	http://45.131.214.85/fakeurl.htm
10.2.28.88	23.204.150.28	ocsp.digicert.com	/MFEwTzBNMEswSTAJBgUrDgMCGgUABBQ50otx%2Fh0Ztl%2Bz8SiPI7wEWVxDlQQUTiJUIBiV5uNu5g%2F6%2BrkS7QYXjzkCEA77flR%2B3w%2FxBpruV2lte6A%3D
10.2.28.88	45.131.214.85	45.131.214.85	http://45.131.214.85/fakeurl.htm
10.2.28.88	45.131.214.85	45.131.214.85	http://45.131.214.85/fakeurl.htm
10.2.28.88	45.131.214.85	45.131.214.85	http://45.131.214.85/fakeurl.htm
10.2.28.88	45.131.214.85	45.131.214.85	http://45.131.214.85/fakeurl.htm
10.2.28.88	45.131.214.85	45.131.214.85	http://45.131.214.85/fakeurl.htm
10.2.28.88	45.131.214.85	45.131.214.85	http://45.131.214.85/fakeurl.htm
